,,Acceleration,,Skidpad,,Autocross,,Endurance,,,
,,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,,
,,3.746,5.619,4.934,6.1675,45.734,66.3143,1369.936,1986.4072,,
0.6,0,3.409,128.363,4.290,139.063,53.442,69.930,58.217,1280.779,306.076,643.433
0.6,0.3,3.409,128.336,4.268,141.883,53.089,72.101,57.857,1272.854,311.441,653.760
0.6,0.6,3.409,128.308,4.245,144.763,52.735,74.307,57.496,1264.907,316.888,664.266
0.6,0.9,3.409,128.280,4.221,147.707,52.381,76.547,57.134,1256.938,322.419,674.953
0.6,1.2,3.410,128.253,4.198,150.716,52.026,78.821,56.771,1248.962,328.026,685.815
0.6,1.5,3.410,128.225,4.175,153.792,51.672,81.121,56.409,1240.999,333.695,696.833
0.6,1.8,3.410,128.197,4.151,156.939,51.320,83.438,56.046,1233.010,339.457,708.030
0.6,2.1,3.411,128.169,4.128,160.157,50.972,85.762,55.684,1225.053,345.270,719.359
0.6,2.4,3.411,128.141,4.104,163.450,50.628,88.087,55.324,1217.121,351.141,730.820
0.6,2.7,3.411,128.113,4.080,166.821,50.289,90.416,54.964,1209.204,357.078,742.428
0.6,3,3.412,128.085,4.056,170.271,49.951,92.764,54.605,1201.306,363.078,754.199
0.6,3.3,3.412,128.058,4.032,173.805,49.614,95.141,54.246,1193.405,369.159,766.163
0.6,3.6,3.412,128.029,4.008,177.424,49.277,97.546,53.888,1185.534,375.299,778.299
0.6,3.9,3.412,128.001,3.983,181.133,48.940,99.989,53.531,1177.686,381.502,790.625
0.6,4.2,3.413,127.973,3.959,184.934,48.602,102.469,53.175,1169.856,387.774,803.151
0.6,4.5,3.413,127.945,3.934,188.832,48.265,104.979,52.820,1162.050,394.111,815.866
0.6,4.8,3.413,127.917,3.909,192.829,47.931,107.496,52.469,1154.313,400.476,828.718
0.6,5.1,3.414,127.889,3.884,196.929,47.602,110.013,52.120,1146.640,406.873,841.705
0.6,5.4,3.414,127.861,3.859,201.138,47.280,112.516,51.773,1139.002,413.327,854.841
0.6,5.7,3.414,127.832,3.833,205.458,46.963,115.004,51.424,1131.319,419.907,868.201
0.6,6,3.415,127.804,3.808,209.895,46.648,117.522,51.074,1123.623,426.588,881.810
0.8,0,3.419,127.423,4.291,139.042,53.462,69.805,58.248,1281.458,305.619,641.889
0.8,0.3,3.419,127.394,4.268,141.861,53.110,71.970,57.889,1273.549,310.968,652.193
0.8,0.6,3.419,127.365,4.245,144.741,52.757,74.171,57.528,1265.615,316.399,662.676
0.8,0.9,3.420,127.336,4.222,147.685,52.403,76.406,57.166,1257.654,321.919,673.346
0.8,1.2,3.420,127.307,4.198,150.693,52.049,78.673,56.804,1249.692,327.510,684.183
0.8,1.5,3.420,127.278,4.175,153.769,51.696,80.965,56.443,1241.739,333.165,695.177
0.8,1.8,3.421,127.249,4.152,156.915,51.345,83.271,56.081,1233.782,338.897,706.332
0.8,2.1,3.421,127.220,4.128,160.133,50.999,85.583,55.720,1225.843,344.690,717.626
0.8,2.4,3.421,127.191,4.104,163.425,50.656,87.896,55.360,1217.929,350.540,729.052
0.8,2.7,3.422,127.162,4.080,166.795,50.319,90.211,55.002,1210.035,356.451,740.618
0.8,3,3.422,127.132,4.056,170.245,49.982,92.549,54.644,1202.159,362.426,752.352
0.8,3.3,3.422,127.103,4.032,173.778,49.646,94.915,54.285,1194.267,368.492,764.288
0.8,3.6,3.423,127.074,4.008,177.397,49.310,97.309,53.927,1186.402,374.618,776.398
0.8,3.9,3.423,127.044,3.983,181.105,48.974,99.742,53.572,1178.582,380.790,788.681
0.8,4.2,3.423,127.015,3.959,184.906,48.637,102.213,53.217,1170.774,387.034,801.167
0.8,4.5,3.424,126.985,3.934,188.802,48.301,104.704,52.864,1163.001,393.334,813.826
0.8,4.8,3.424,126.956,3.909,192.799,47.970,107.203,52.513,1155.289,399.668,826.626
0.8,5.1,3.424,126.926,3.884,196.899,47.644,109.696,52.166,1147.647,406.029,839.550
0.8,5.4,3.425,126.897,3.859,201.106,47.323,112.177,51.819,1140.020,412.462,852.642
0.8,5.7,3.425,126.867,3.833,205.425,47.008,114.650,51.471,1132.360,419.010,865.953
0.8,6,3.425,126.838,3.808,209.861,46.693,117.154,51.121,1124.655,425.688,879.541
1,0,3.430,126.438,4.291,139.018,53.484,69.669,58.282,1282.196,305.124,640.249
1,0.3,3.430,126.408,4.268,141.837,53.133,71.830,57.923,1274.302,310.455,650.530
1,0.6,3.430,126.377,4.245,144.716,52.780,74.025,57.562,1266.371,315.879,660.998
1,0.9,3.431,126.347,4.222,147.659,52.427,76.255,57.201,1258.425,321.382,671.643
1,1.2,3.431,126.316,4.199,150.667,52.073,78.516,56.841,1250.496,326.942,682.441
1,1.5,3.431,126.286,4.175,153.742,51.721,80.800,56.480,1242.559,332.579,693.407
1,1.8,3.432,126.256,4.152,156.887,51.372,83.094,56.119,1234.614,338.294,704.531
1,2.1,3.432,126.225,4.128,160.105,51.027,85.394,55.759,1226.701,344.060,715.784
1,2.4,3.432,126.194,4.104,163.397,50.686,87.692,55.400,1218.807,349.887,727.170
1,2.7,3.433,126.164,4.081,166.766,50.350,89.994,55.043,1210.935,355.773,738.696
1,3,3.433,126.133,4.057,170.215,50.014,92.322,54.685,1203.073,361.728,750.398
1,3.3,3.433,126.102,4.032,173.747,49.679,94.676,54.327,1195.192,367.777,762.303
1,3.6,3.434,126.071,4.008,177.366,49.345,97.061,53.970,1187.348,373.877,774.375
1,3.9,3.434,126.041,3.984,181.073,49.009,99.485,53.615,1179.541,380.028,786.627
1,4.2,3.434,126.010,3.959,184.873,48.673,101.946,53.261,1171.746,386.253,799.081
1,4.5,3.435,125.979,3.934,188.768,48.340,104.417,52.909,1163.999,392.520,811.685
1,4.8,3.435,125.948,3.909,192.764,48.010,106.898,52.560,1156.329,398.809,824.419
1,5.1,3.435,125.917,3.884,196.863,47.686,109.366,52.215,1148.724,405.128,837.274
1,5.4,3.436,125.886,3.859,201.069,47.369,111.822,51.869,1141.115,411.533,850.310
1,5.7,3.436,125.855,3.834,205.388,47.055,114.279,51.521,1133.462,418.063,863.584
1,6,3.436,125.823,3.808,209.823,46.742,116.768,51.171,1125.761,424.723,877.137
1.2,0,3.441,125.403,4.291,138.991,53.508,69.524,58.319,1283.010,304.578,638.496
1.2,0.3,3.441,125.371,4.268,141.809,53.157,71.680,57.960,1275.115,309.903,648.763
1.2,0.6,3.442,125.339,4.245,144.688,52.805,73.870,57.600,1267.204,315.306,659.203
1.2,0.9,3.442,125.307,4.222,147.630,52.452,76.094,57.240,1259.279,320.787,669.818
1.2,1.2,3.442,125.275,4.199,150.637,52.100,78.348,56.880,1251.369,326.326,680.586
1.2,1.5,3.443,125.243,4.175,153.712,51.748,80.623,56.521,1243.454,331.940,691.518
1.2,1.8,3.443,125.211,4.152,156.856,51.400,82.907,56.160,1235.527,337.634,702.608
1.2,2.1,3.443,125.179,4.128,160.073,51.057,85.193,55.801,1227.631,343.379,713.823
1.2,2.4,3.444,125.147,4.105,163.364,50.718,87.477,55.443,1219.753,349.185,725.172
1.2,2.7,3.444,125.114,4.081,166.732,50.383,89.766,55.086,1211.902,355.046,736.659
1.2,3,3.444,125.082,4.057,170.181,50.048,92.085,54.730,1204.051,360.983,748.331
1.2,3.3,3.445,125.050,4.033,173.712,49.714,94.428,54.372,1196.190,367.006,760.196
1.2,3.6,3.445,125.017,4.008,177.330,49.380,96.804,54.016,1188.349,373.094,772.245
1.2,3.9,3.446,124.985,3.984,181.036,49.046,99.218,53.662,1180.556,379.224,784.463
1.2,4.2,3.446,124.952,3.959,184.835,48.711,101.663,53.309,1172.799,385.406,796.856
1.2,4.5,3.446,124.920,3.934,188.730,48.380,104.116,52.958,1165.077,391.643,809.409
1.2,4.8,3.447,124.887,3.910,192.724,48.053,106.576,52.610,1157.430,397.901,822.088
1.2,5.1,3.447,124.854,3.884,196.822,47.732,109.020,52.266,1149.859,404.179,834.876
1.2,5.4,3.447,124.821,3.859,201.027,47.417,111.451,51.921,1142.257,410.567,847.866
1.2,5.7,3.448,124.789,3.834,205.345,47.104,113.893,51.573,1134.615,417.074,861.100
1.2,6,3.448,124.756,3.808,209.779,46.792,116.365,51.224,1126.935,423.702,874.601
1.4,0,3.453,124.312,4.291,138.960,53.533,69.370,58.359,1283.889,303.989,636.632
1.4,0.3,3.453,124.279,4.268,141.777,53.183,71.520,58.000,1276.004,309.300,646.876
1.4,0.6,3.454,124.245,4.245,144.656,52.831,73.705,57.641,1268.106,314.686,657.292
1.4,0.9,3.454,124.211,4.222,147.597,52.479,75.923,57.282,1260.207,320.141,667.872
1.4,1.2,3.454,124.177,4.199,150.604,52.127,78.169,56.923,1252.314,325.661,678.611
1.4,1.5,3.455,124.143,4.176,153.678,51.777,80.435,56.564,1244.406,331.261,689.517
1.4,1.8,3.455,124.109,4.152,156.821,51.430,82.709,56.205,1236.499,336.932,700.571
1.4,2.1,3.456,124.075,4.129,160.037,51.088,84.982,55.846,1228.616,342.658,711.752
1.4,2.4,3.456,124.041,4.105,163.327,50.752,87.250,55.489,1220.757,348.440,723.058
1.4,2.7,3.456,124.007,4.081,166.695,50.418,89.529,55.133,1212.932,354.273,734.504
1.4,3,3.457,123.973,4.057,170.143,50.084,91.835,54.777,1205.093,360.191,746.142
1.4,3.3,3.457,123.939,4.033,173.673,49.751,94.167,54.420,1197.236,366.200,757.979
1.4,3.6,3.458,123.904,4.009,177.289,49.418,96.533,54.065,1189.424,372.255,769.982
1.4,3.9,3.458,123.870,3.984,180.995,49.084,98.937,53.711,1181.643,378.364,782.166
1.4,4.2,3.458,123.835,3.960,184.793,48.752,101.365,53.359,1173.904,384.521,794.514
1.4,4.5,3.459,123.801,3.935,188.686,48.422,103.801,53.010,1166.220,390.715,807.003
1.4,4.8,3.459,123.766,3.910,192.680,48.097,106.239,52.664,1158.614,396.927,819.612
1.4,5.1,3.459,123.732,3.885,196.776,47.779,108.658,52.321,1151.058,403.179,832.346
1.4,5.4,3.460,123.697,3.860,200.981,47.466,111.066,51.976,1143.475,409.537,845.281
