,,Acceleration,,Skidpad,,Autocross,,Endurance,,,
,,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,,
,,3.746,5.619,4.934,6.1675,45.734,66.3143,1369.936,1986.4072,,
2.6,0.6,3.544,116.297,4.247,144.393,53.018,72.539,57.956,1275.041,309.954,643.183
2.6,0.9,3.545,116.255,4.224,147.328,52.673,74.701,57.604,1267.288,315.249,653.532
2.6,1.2,3.545,116.213,4.201,150.329,52.329,76.878,57.250,1259.501,320.632,664.052
2.6,1.5,3.546,116.171,4.178,153.397,51.988,79.065,56.897,1251.729,326.072,674.705
2.6,1.8,3.546,116.129,4.154,156.534,51.652,81.249,56.544,1243.976,331.568,685.479
2.6,2.1,3.547,116.087,4.131,159.743,51.323,83.418,56.193,1236.257,337.107,696.355
2.6,2.4,3.547,116.045,4.107,163.027,50.996,85.604,55.843,1228.553,342.704,707.380
2.6,2.7,3.548,116.004,4.083,166.387,50.668,87.814,55.492,1220.824,348.391,718.596
2.6,3,3.548,115.962,4.059,169.828,50.342,90.049,55.140,1213.080,354.161,729.999
2.6,3.3,3.549,115.920,4.035,173.351,50.015,92.318,54.787,1205.304,360.031,741.619
2.6,3.6,3.549,115.878,4.011,176.959,49.688,94.618,54.435,1197.569,365.945,753.399
2.6,3.9,3.550,115.836,3.986,180.656,49.364,96.924,54.089,1189.949,371.845,765.261
2.6,4.2,3.550,115.795,3.962,184.446,49.042,99.243,53.745,1182.382,377.781,777.264
2.6,4.5,3.551,115.753,3.937,188.331,48.726,101.552,53.405,1174.920,383.708,789.343
2.6,4.8,3.551,115.711,3.912,192.315,48.418,103.833,53.069,1167.528,389.655,801.514
2.6,5.1,3.552,115.669,3.887,196.402,48.114,106.112,52.731,1160.082,395.722,813.905
2.6,5.4,3.552,115.628,3.862,200.596,47.811,108.412,52.391,1152.600,401.897,826.533
2.6,5.7,3.553,115.586,3.836,204.902,47.509,110.734,52.048,1145.056,408.205,839.427
2.6,6,3.553,115.544,3.811,209.324,47.204,113.106,51.703,1137.471,414.631,852.605
2.8,0,3.560,114.990,4.294,138.655,53.741,68.109,58.719,1291.820,298.712,620.465
2.8,0.3,3.560,114.948,4.271,141.466,53.397,70.201,58.369,1284.116,303.837,630.452
2.8,0.6,3.561,114.907,4.248,144.337,53.053,72.322,58.019,1276.422,309.017,640.583
2.8,0.9,3.561,114.865,4.225,147.272,52.709,74.471,57.668,1268.698,314.281,650.889
2.8,1.2,3.562,114.824,4.202,150.271,52.367,76.635,57.316,1260.955,319.622,661.351
2.8,1.5,3.562,114.782,4.178,153.337,52.028,78.806,56.964,1253.214,325.028,671.954
2.8,1.8,3.563,114.741,4.155,156.473,51.695,80.970,56.613,1245.494,330.486,682.670
2.8,2.1,3.563,114.699,4.131,159.681,51.368,83.122,56.265,1237.829,335.973,693.476
2.8,2.4,3.564,114.658,4.108,162.963,51.041,85.296,55.917,1230.163,341.528,704.446
2.8,2.7,3.564,114.617,4.084,166.322,50.716,87.494,55.567,1222.474,347.171,715.603
2.8,3,3.565,114.575,4.060,169.761,50.390,89.717,55.216,1214.756,352.907,726.960
2.8,3.3,3.565,114.534,4.036,173.282,50.064,91.974,54.864,1207.002,358.742,738.532
2.8,3.6,3.566,114.492,4.011,176.889,49.739,94.254,54.514,1199.304,364.611,750.247
2.8,3.9,3.566,114.451,3.987,180.585,49.417,96.543,54.169,1191.716,370.470,762.048
2.8,4.2,3.567,114.410,3.962,184.372,49.098,98.841,53.827,1184.184,376.360,773.983
2.8,4.5,3.567,114.368,3.937,188.255,48.785,101.121,53.490,1176.784,382.221,785.966
2.8,4.8,3.568,114.327,3.913,192.238,48.480,103.373,53.155,1169.405,388.138,798.076
2.8,5.1,3.568,114.286,3.888,196.323,48.178,105.633,52.818,1161.987,394.162,810.404
2.8,5.4,3.569,114.245,3.862,200.515,47.877,107.911,52.478,1154.515,400.309,822.979
2.8,5.7,3.569,114.203,3.837,204.819,47.576,110.214,52.137,1147.006,406.566,835.802
2.8,6,3.570,114.162,3.811,209.238,47.273,112.570,51.792,1139.430,412.963,848.934
3,0,3.576,113.613,4.294,138.599,53.775,67.904,58.780,1293.164,297.824,617.940
3,0.3,3.577,113.572,4.271,141.408,53.432,69.986,58.432,1285.503,302.910,627.876
3,0.6,3.577,113.531,4.248,144.278,53.090,72.097,58.084,1277.843,308.056,637.963
3,0.9,3.578,113.490,4.225,147.211,52.747,74.234,57.734,1270.151,313.285,648.221
3,1.2,3.578,113.449,4.202,150.209,52.407,76.384,57.383,1262.430,318.600,658.642
3,1.5,3.579,113.408,4.179,153.274,52.070,78.539,57.033,1254.728,323.966,669.187
3,1.8,3.579,113.367,4.155,156.409,51.739,80.683,56.685,1247.063,329.371,679.831
3,2.1,3.580,113.326,4.132,159.615,51.413,82.820,56.338,1239.438,334.815,690.577
3,2.4,3.580,113.285,4.108,162.896,51.088,84.982,55.991,1231.800,340.337,701.500
3,2.7,3.580,113.244,4.084,166.253,50.764,87.166,55.643,1224.155,345.931,712.595
3,3,3.581,113.203,4.060,169.690,50.440,89.378,55.294,1216.471,351.626,723.898
3,3.3,3.581,113.162,4.036,173.210,50.115,91.624,54.944,1208.765,357.409,735.405
3,3.6,3.582,113.122,4.012,176.815,49.792,93.883,54.597,1201.144,363.201,747.021
3,3.9,3.582,113.081,3.987,180.509,49.471,96.155,54.254,1193.590,369.016,758.760
3,4.2,3.583,113.040,3.963,184.294,49.155,98.429,53.914,1186.112,374.845,770.609
3,4.5,3.583,112.999,3.938,188.176,48.845,100.680,53.580,1178.767,380.643,782.497
3,4.8,3.584,112.958,3.913,192.156,48.543,102.906,53.246,1171.412,386.521,794.541
3,5.1,3.584,112.917,3.888,196.239,48.242,105.146,52.909,1164.006,392.515,806.817
3,5.4,3.585,112.876,3.863,200.429,47.944,107.400,52.571,1156.557,398.621,819.326
3,5.7,3.585,112.835,3.837,204.730,47.645,109.687,52.230,1149.069,404.839,832.092
3,6,3.586,112.795,3.812,209.147,47.342,112.028,51.887,1141.519,411.191,845.162
3.2,0,3.592,112.252,4.295,138.539,53.810,67.692,58.843,1294.545,296.913,615.397
3.2,0.3,3.593,112.211,4.272,141.347,53.469,69.765,58.497,1286.925,301.961,625.284
3.2,0.6,3.593,112.171,4.249,144.216,53.127,71.867,58.149,1279.286,307.081,635.335
3.2,0.9,3.594,112.130,4.226,147.148,52.786,73.991,57.801,1271.626,312.278,645.546
3.2,1.2,3.594,112.089,4.203,150.144,52.447,76.126,57.452,1263.944,317.552,655.912
3.2,1.5,3.595,112.049,4.179,153.208,52.112,78.265,57.104,1256.284,322.876,666.397
3.2,1.8,3.595,112.008,4.156,156.341,51.784,80.388,56.758,1248.666,328.235,676.972
3.2,2.1,3.596,111.968,4.132,159.546,51.460,82.513,56.413,1241.082,333.636,687.662
3.2,2.4,3.596,111.927,4.109,162.825,51.136,84.662,56.067,1233.485,339.113,698.527
3.2,2.7,3.597,111.887,4.085,166.180,50.813,86.833,55.721,1225.872,344.669,709.569
3.2,3,3.597,111.846,4.061,169.616,50.490,89.034,55.374,1218.220,350.323,720.819
3.2,3.3,3.598,111.806,4.037,173.134,50.166,91.266,55.026,1210.579,356.041,732.247
3.2,3.6,3.598,111.765,4.012,176.737,49.845,93.505,54.683,1203.021,361.768,743.775
3.2,3.9,3.599,111.725,3.988,180.429,49.527,95.759,54.342,1195.527,367.518,755.430
3.2,4.2,3.599,111.684,3.963,184.212,49.213,98.009,54.005,1188.121,373.272,767.177
3.2,4.5,3.600,111.644,3.939,188.091,48.907,100.229,53.674,1180.828,379.008,778.972
3.2,4.8,3.600,111.603,3.914,192.069,48.607,102.432,53.341,1173.495,384.848,790.954
3.2,5.1,3.601,111.563,3.889,196.150,48.309,104.650,53.006,1166.125,390.792,803.155
3.2,5.4,3.601,111.523,3.863,200.338,48.012,106.882,52.669,1158.718,396.842,815.584
3.2,5.7,3.602,111.482,3.838,204.637,47.714,109.155,52.330,1151.258,403.013,828.287
3.2,6,3.602,111.442,3.812,209.052,47.413,111.479,51.988,1143.735,409.318,841.291
3.4,0,3.609,110.905,4.295,138.476,53.846,67.475,58.907,1295.963,295.981,612.837
3.4,0.3,3.609,110.865,4.272,141.283,53.506,69.538,58.563,1288.380,300.993,622.679
3.4,0.6,3.610,110.825,4.249,144.150,53.165,71.630,58.217,1280.781,306.075,632.680
3.4,0.9,3.610,110.784,4.226,147.081,52.826,73.740,57.870,1273.134,311.250,642.855
3.4,1.2,3.611,110.744,4.203,150.076,52.489,75.861,57.522,1265.492,316.485,653.166
3.4,1.5,3.611,110.704,4.180,153.138,52.156,77.983,57.176,1257.873,321.766,663.591
3.4,1.8,3.612,110.664,4.156,156.269,51.831,80.085,56.832,1250.297,327.082,674.101
3.4,2.1,3.612,110.624,4.133,159.472,51.508,82.199,56.489,1242.752,332.441,684.736
3.4,2.4,3.613,110.584,4.109,162.750,51.185,84.336,56.146,1235.203,337.868,695.538
3.4,2.7,3.613,110.544,4.085,166.104,50.863,86.494,55.801,1227.613,343.392,706.533
3.4,3,3.614,110.504,4.061,169.537,50.541,88.685,55.454,1219.992,349.007,717.733
3.4,3.3,3.614,110.464,4.037,173.053,50.219,90.899,55.110,1212.428,354.651,729.066
3.4,3.6,3.614,110.424,4.013,176.654,49.900,93.120,54.770,1204.944,360.304,740.502
3.4,3.9,3.615,110.384,3.988,180.344,49.584,95.355,54.432,1197.502,365.996,752.079
3.4,4.2,3.615,110.344,3.964,184.126,49.273,97.578,54.099,1190.178,371.666,763.714
3.4,4.5,3.616,110.304,3.939,188.002,48.970,99.768,53.769,1182.916,377.359,775.433
3.4,4.8,3.616,110.264,3.914,191.978,48.672,101.951,53.437,1175.620,383.149,787.342
3.4,5.1,3.617,110.224,3.889,196.057,48.376,104.146,53.104,1168.282,389.045,799.471
3.4,5.4,3.617,110.184,3.864,200.242,48.081,106.358,52.768,1160.902,395.050,811.834
3.4,5.7,3.618,110.144,3.839,204.539,47.784,108.617,52.430,1153.467,401.177,824.476
3.4,6,3.618,110.104,3.813,208.950,47.485,110.922,52.090,1145.979,407.428,837.405
3.6,0,3.625,109.573,4.296,138.410,53.883,67.252,58.974,1297.426,295.021,610.256
3.6,0.3,3.625,109.533,4.273,141.215,53.544,69.306,58.631,1289.873,300.001,620.056
3.6,0.6,3.626,109.494,4.250,144.081,53.204,71.387,58.286,1282.293,305.058,630.020
3.6,0.9,3.626,109.454,4.227,147.010,52.867,73.483,57.940,1274.679,310.199,640.147
3.6,1.2,3.627,109.414,4.204,150.004,52.532,75.589,57.594,1267.075,315.395,650.402
3.6,1.5,3.627,109.374,4.180,153.064,52.201,77.693,57.250,1259.490,320.640,660.772
3.6,1.8,3.628,109.335,4.157,156.194,51.878,79.777,56.907,1251.961,325.909,671.216
3.6,2.1,3.628,109.295,4.133,159.395,51.556,81.879,56.566,1244.463,331.220,681.790
3.6,2.4,3.629,109.256,4.110,162.671,51.235,84.004,56.225,1236.946,336.609,692.540
3.6,2.7,3.629,109.216,4.086,166.023,50.914,86.151,55.881,1229.392,342.091,703.481
3.6,3,3.630,109.176,4.062,169.455,50.593,88.329,55.538,1221.830,347.646,714.606
3.6,3.3,3.630,109.137,4.038,172.969,50.273,90.523,55.197,1214.339,353.218,725.847
3.6,3.6,3.631,109.097,4.013,176.568,49.956,92.728,54.859,1206.901,358.819,737.212
3.6,3.9,3.631,109.058,3.989,180.255,49.642,94.943,54.524,1199.525,364.442,748.697
3.6,4.2,3.632,109.018,3.964,184.035,49.334,97.138,54.193,1192.250,370.056,760.247
3.6,4.5,3.632,108.979,3.940,187.909,49.035,99.299,53.865,1185.030,375.694,771.881
3.6,4.8,3.633,108.939,3.915,191.883,48.738,101.463,53.535,1177.759,381.444,783.728
3.6,5.1,3.633,108.900,3.890,195.959,48.445,103.633,53.203,1170.463,387.285,795.776
3.6,5.4,3.634,108.860,3.865,200.141,48.152,105.829,52.868,1163.106,393.248,808.079
3.6,5.7,3.634,108.821,3.839,204.435,47.855,108.073,52.532,1155.709,399.321,820.649
3.6,6,3.635,108.781,3.814,208.844,47.558,110.359,52.193,1148.248,405.526,833.510
3.8,0,3.641,108.256,4.296,138.341,53.921,67.024,59.041,1298.912,294.048,607.668
3.8,0.3,3.642,108.217,4.273,141.145,53.583,69.067,58.700,1291.396,298.992,617.421
3.8,0.6,3.642,108.178,4.251,144.009,53.245,71.137,58.356,1283.842,304.020,627.344
3.8,0.9,3.643,108.138,4.227,146.936,52.909,73.220,58.012,1276.268,309.122,637.417
3.8,1.2,3.643,108.099,4.204,149.928,52.576,75.312,57.668,1268.692,314.285,647.624
3.8,1.5,3.643,108.060,4.181,152.987,52.248,77.396,57.325,1261.149,319.488,657.931
3.8,1.8,3.644,108.021,4.158,156.115,51.927,79.464,56.985,1253.666,324.711,668.311
3.8,2.1,3.644,107.982,4.134,159.315,51.606,81.554,56.646,1246.211,329.976,678.827
3.8,2.4,3.645,107.942,4.110,162.588,51.286,83.666,56.305,1238.714,335.336,689.533
3.8,2.7,3.645,107.903,4.086,165.938,50.966,85.801,55.963,1231.191,340.780,700.422
3.8,3,3.646,107.864,4.062,169.368,50.646,87.967,55.623,1223.702,346.265,711.464
3.8,3.3,3.646,107.825,4.038,172.880,50.329,90.141,55.285,1216.272,351.774,722.619
3.8,3.6,3.647,107.786,4.014,176.477,50.013,92.330,54.950,1208.894,357.312,733.905
3.8,3.9,3.647,107.747,3.990,180.162,49.701,94.522,54.617,1201.567,362.878,745.309
3.8,4.2,3.648,107.708,3.965,183.939,49.397,96.689,54.289,1194.367,368.415,756.751
3.8,4.5,3.648,107.669,3.940,187.812,49.100,98.824,53.962,1187.165,374.020,768.323
3.8,4.8,3.649,107.630,3.915,191.782,48.806,100.966,53.634,1179.938,379.713,780.092
3.8,5.1,3.649,107.590,3.890,195.856,48.515,103.114,53.302,1172.654,385.523,792.083
3.8,5.4,3.650,107.551,3.865,200.036,48.223,105.295,52.970,1165.340,391.430,804.312
3.8,5.7,3.650,107.512,3.840,204.327,47.928,107.523,52.635,1157.969,397.458,816.820
3.8,6,3.651,107.473,3.814,208.733,47.631,109.789,52.297,1150.536,403.615,829.611
4,0,3.657,106.955,4.297,138.268,53.960,66.789,59.111,1300.441,293.049,605.061
4,0.3,3.658,106.916,4.274,141.071,53.623,68.823,58.770,1292.946,297.968,614.777
4,0.6,3.658,106.877,4.251,143.934,53.287,70.880,58.428,1285.420,302.965,624.656
4,0.9,3.659,106.838,4.228,146.859,52.952,72.951,58.085,1277.874,308.035,634.683
4,1.2,3.659,106.800,4.205,149.849,52.621,75.027,57.743,1270.337,313.158,644.834
4,1.5,3.660,106.761,4.182,152.906,52.296,77.091,57.401,1262.832,318.321,655.079
4,1.8,3.660,106.722,4.158,156.033,51.976,79.146,57.064,1255.407,323.490,665.390
4,2.1,3.661,106.683,4.135,159.230,51.656,81.225,56.726,1247.974,328.725,675.863
4,2.4,3.661,106.645,4.111,162.502,51.338,83.323,56.387,1240.515,334.043,686.512
4,2.7,3.662,106.606,4.087,165.850,51.019,85.446,56.047,1233.044,339.433,697.335
4,3,3.662,106.567,4.063,169.278,50.700,87.597,55.709,1225.604,344.866,708.307
4,3.3,3.663,106.529,4.039,172.787,50.385,89.753,55.375,1218.239,350.309,719.377
4,3.6,3.663,106.490,4.015,176.382,50.071,91.926,55.041,1210.909,355.792,730.590
4,3.9,3.664,106.451,3.990,180.065,49.762,94.093,54.711,1203.647,361.291,741.901
4,4.2,3.664,106.413,3.966,183.840,49.461,96.230,54.386,1196.495,366.772,753.254
4,4.5,3.664,106.374,3.941,187.709,49.167,98.341,54.060,1189.328,372.329,764.754
4,4.8,3.665,106.335,3.916,191.678,48.875,100.461,53.733,1182.134,377.976,776.451
4,5.1,3.665,106.297,3.891,195.748,48.586,102.588,53.404,1174.882,383.739,788.372
4,5.4,3.666,106.258,3.866,199.926,48.295,104.755,53.073,1167.607,389.591,800.530
4,5.7,3.666,106.220,3.840,204.214,48.001,106.967,52.739,1160.254,395.580,812.980
4,6,3.667,106.181,3.815,208.617,47.706,109.213,52.403,1152.863,401.679,825.690
